season,cut,team,D
2023,9,Air Force,0.026989480750723948
2023,9,Akron,-0.02338640706150493
2023,9,Alabama,0.02773276330218842
2023,9,App State,-0.01103648697882053
2023,9,Arizona,0.0026895748974756746
2023,9,Arizona State,-0.016194017080396715
2023,9,Arkansas,-0.010198084533226811
2023,9,Arkansas State,-0.011296124744307355
2023,9,Army,-0.023088147842276478
2023,9,Auburn,-0.008162889589099965
2023,9,BYU,-0.007917238385703929
2023,9,Ball State,-0.004764052505139158
2023,9,Baylor,-0.013095896111482298
2023,9,Boise State,-0.005647206563144391
2023,9,Boston College,-0.00129344117767418
2023,9,Bowling Green,-0.019148956478194906
2023,9,Buffalo,-0.0014245570365273316
2023,9,California,-0.00529195579577491
2023,9,Central Michigan,-0.012317616838495658
2023,9,Charlotte,-0.008744337086274461
2023,9,Cincinnati,-0.013889921059657398
2023,9,Clemson,0.0018590354184551846
2023,9,Coastal Carolina,-0.007969558094178448
2023,9,Colorado,-0.004055128957536296
2023,9,Colorado State,-0.009572758271493762
2023,9,Duke,6.284978244386851e-05
2023,9,East Carolina,-0.02946403089629019
2023,9,Eastern Michigan,-0.016652247920744993
2023,9,Florida,0.016473646564266028
2023,9,Florida Atlantic,-0.0015179086679859017
2023,9,Florida International,-0.0334378333439734
