season,team,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct
2021,Nevada,12,7.5,0.625,7,0.5833333333333334
2021,Arkansas State,11,3.0,0.2727272727272727,1,0.09090909090909091
2021,San José State,11,3.0,0.2727272727272727,4,0.36363636363636365
2021,Hawai'i,12,5.0,0.4166666666666667,5,0.4166666666666667
2021,Washington State,12,6.5,0.5416666666666666,6,0.5
2021,Utah State,13,8.0,0.6153846153846154,10,0.7692307692307693
2021,Arizona,11,2.0,0.18181818181818182,1,0.09090909090909091
2021,San Diego State,13,8.0,0.6153846153846154,11,0.8461538461538461
2021,Arizona State,12,7.0,0.5833333333333334,7,0.5833333333333334
2021,Utah,13,10.5,0.8076923076923077,9,0.6923076923076923
2022,Hawai'i,12,3.5,0.2916666666666667,2,0.16666666666666666
2022,Vanderbilt,11,3.5,0.3181818181818182,4,0.36363636363636365
2022,Alabama,12,9.5,0.7916666666666666,10,0.8333333333333334
2022,Utah State,12,4.0,0.3333333333333333,6,0.5
2022,Arkansas,12,7.0,0.5833333333333334,6,0.5
2022,Cincinnati,12,8.0,0.6666666666666666,8,0.6666666666666666
2022,Florida,12,5.0,0.4166666666666667,5,0.4166666666666667
2022,Utah,13,9.0,0.6923076923076923,9,0.6923076923076923
2022,Georgia,14,13.0,0.9285714285714286,14,1.0
2022,Oregon,12,8.5,0.7083333333333334,9,0.75
2022,Kentucky,12,6.0,0.5,6,0.5
2022,Miami (OH),12,5.0,0.4166666666666667,5,0.4166666666666667
2022,Ole Miss,12,6.5,0.5416666666666666,7,0.5833333333333334
2022,Troy,13,8.5,0.6538461538461539,11,0.8461538461538461
2022,Mississippi State,12,7.0,0.5833333333333334,8,0.6666666666666666
2022,Memphis,12,8.0,0.6666666666666666,6,0.5
2022,South Carolina,12,6.5,0.5416666666666666,7,0.5833333333333334
2022,Georgia State,12,6.0,0.5,4,0.3333333333333333
2022,Tennessee,12,8.5,0.7083333333333334,10,0.8333333333333334
2022,Ball State,11,4.0,0.36363636363636365,4,0.36363636363636365
2022,Florida State,12,8.0,0.6666666666666666,9,0.75
2022,LSU,13,8.0,0.6153846153846154,9,0.6923076923076923
2022,Texas,13,9.5,0.7307692307692307,8,0.6153846153846154
2022,Auburn,11,3.5,0.3181818181818182,4,0.36363636363636365
2022,San José State,11,7.0,0.6363636363636364,6,0.5454545454545454
2022,Arizona,11,3.5,0.3181818181818182,4,0.36363636363636365
2022,Kansas State,13,8.5,0.6538461538461539,9,0.6923076923076923
2022,Missouri,12,6.0,0.5,5,0.4166666666666667
2022,Pittsburgh,12,7.5,0.625,8,0.6666666666666666
2022,Texas A&M,11,5.5,0.5,4,0.36363636363636365
2022,App State,10,5.5,0.55,4,0.4
2022,Wake Forest,12,8.0,0.6666666666666666,7,0.5833333333333334
2022,UL Monroe,11,2.5,0.22727272727272727,3,0.2727272727272727
2022,Penn State,13,10.5,0.8076923076923077,11,0.8461538461538461
2022,South Florida,11,2.0,0.18181818181818182,0,0.0
2022,Georgia Tech,11,2.5,0.22727272727272727,4,0.36363636363636365
2022,Akron,11,3.5,0.3181818181818182,1,0.09090909090909091
2022,Miami,11,4.0,0.36363636363636365,4,0.36363636363636365
2022,Northern Illinois,11,4.0,0.36363636363636365,2,0.18181818181818182
2022,Kent State,11,4.0,0.36363636363636365,4,0.36363636363636365
2022,New Mexico,11,1.0,0.09090909090909091,1,0.09090909090909091
2022,Tulsa,11,3.5,0.3181818181818182,4,0.36363636363636365
2022,Bowling Green,12,4.0,0.3333333333333333,6,0.5
2022,BYU,12,6.5,0.5416666666666666,7,0.5833333333333334
2022,Liberty,12,7.5,0.625,7,0.5833333333333334
2022,New Mexico State,11,5.0,0.45454545454545453,5,0.45454545454545453
2022,Massachusetts,11,1.0,0.09090909090909091,0,0.0
2022,Louisville,13,8.5,0.6538461538461539,8,0.6153846153846154
2022,Clemson,13,9.0,0.6923076923076923,10,0.7692307692307693
2022,Colorado,12,1.0,0.08333333333333333,1,0.08333333333333333
2022,TCU,14,9.5,0.6785714285714286,12,0.8571428571428571
2022,San Diego State,12,5.5,0.4583333333333333,6,0.5
2022,Oregon State,12,8.5,0.7083333333333334,9,0.75
2022,Boise State,13,8.0,0.6153846153846154,9,0.6923076923076923
2022,UCLA,12,8.0,0.6666666666666666,8,0.6666666666666666
2022,Washington,12,9.0,0.75,10,0.8333333333333334
2022,Oklahoma State,12,6.5,0.5416666666666666,6,0.5
2022,Arizona State,11,2.0,0.18181818181818182,2,0.18181818181818182
2022,California,11,4.5,0.4090909090909091,3,0.2727272727272727
2022,UNLV,11,5.5,0.5,4,0.36363636363636365
2022,Air Force,12,9.5,0.7916666666666666,9,0.75
2022,Fresno State,13,8.5,0.6538461538461539,9,0.6923076923076923
2022,Stanford,11,2.0,0.18181818181818182,2,0.18181818181818182
2022,USC,14,10.0,0.7142857142857143,11,0.7857142857142857
2022,Wisconsin,12,6.5,0.5416666666666666,6,0.5
2022,Washington State,12,6.5,0.5416666666666666,6,0.5
2022,Eastern Michigan,12,6.5,0.5416666666666666,8,0.6666666666666666
2022,Notre Dame,13,8.0,0.6153846153846154,9,0.6923076923076923
2022,Minnesota,12,7.0,0.5833333333333334,8,0.6666666666666666
2022,South Alabama,12,7.5,0.625,9,0.75
2022,Michigan State,12,4.0,0.3333333333333333,5,0.4166666666666667
2022,Colorado State,11,3.0,0.2727272727272727,3,0.2727272727272727
2022,Baylor,12,5.5,0.4583333333333333,5,0.4166666666666667
2022,Texas Tech,12,5.0,0.4166666666666667,7,0.5833333333333334
2022,Houston,13,7.0,0.5384615384615384,8,0.6153846153846154
2022,Iowa,12,8.0,0.6666666666666666,7,0.5833333333333334
2022,Iowa State,11,5.5,0.5,3,0.2727272727272727
2022,West Virginia,11,3.0,0.2727272727272727,4,0.36363636363636365
2022,Kansas,12,5.0,0.4166666666666667,5,0.4166666666666667
2022,Oklahoma,13,8.5,0.6538461538461539,6,0.46153846153846156
2022,Ohio,13,8.0,0.6153846153846154,9,0.6923076923076923
2022,Nebraska,11,4.5,0.4090909090909091,3,0.2727272727272727
2022,Texas State,11,4.0,0.36363636363636365,3,0.2727272727272727
2022,NC State,12,6.0,0.5,7,0.5833333333333334
2022,Tulane,13,10.0,0.7692307692307693,11,0.8461538461538461
2022,SMU,12,7.0,0.5833333333333334,6,0.5
2022,Duke,12,8.5,0.7083333333333334,8,0.6666666666666666
2022,Ohio State,13,11.5,0.8846153846153846,11,0.8461538461538461
2022,Marshall,11,6.0,0.5454545454545454,7,0.6363636363636364
2022,North Carolina,13,6.5,0.5,8,0.6153846153846154
2022,Syracuse,12,6.0,0.5,6,0.5
2022,Navy,11,4.5,0.4090909090909091,4,0.36363636363636365
2022,Boston College,11,2.0,0.18181818181818182,2,0.18181818181818182
2022,Coastal Carolina,12,6.0,0.5,8,0.6666666666666666
2022,Army,10,5.0,0.5,4,0.4
2022,UConn,12,4.5,0.375,5,0.4166666666666667
2022,Michigan,14,12.5,0.8928571428571429,13,0.9285714285714286
