team,season,games,wins,win_pct,margin_pg,pf_pg,pa_pg,conference
Baylor,2014,13,11,0.8461538461538461,22.692307692307693,48.23076923076923,25.53846153846154,B12
Baylor,2015,13,10,0.7692307692307693,19.76923076923077,48.07692307692308,28.307692307692307,B12
Baylor,2016,13,7,0.5384615384615384,5.615384615384615,34.61538461538461,29.0,B12
Baylor,2017,12,1,0.08333333333333333,-11.583333333333334,24.333333333333332,35.916666666666664,B12
Baylor,2018,13,7,0.5384615384615384,-2.1538461538461537,29.53846153846154,31.692307692307693,B12
Baylor,2019,14,11,0.7857142857142857,13.857142857142858,33.642857142857146,19.785714285714285,B12
Baylor,2021,14,12,0.8571428571428571,13.357142857142858,31.642857142857142,18.285714285714285,B12
Baylor,2022,13,6,0.46153846153846156,5.3076923076923075,32.15384615384615,26.846153846153847,B12
Baylor,2023,12,3,0.25,-10.25,23.083333333333332,33.333333333333336,B12
Baylor,2024,13,8,0.6153846153846154,7.6923076923076925,34.38461538461539,26.692307692307693,B12
Baylor,2025,12,5,0.4166666666666667,-1.5,31.083333333333332,32.583333333333336,Big 12
Boise State,2014,14,12,0.8571428571428571,12.928571428571429,39.714285714285715,26.785714285714285,MWC
Boise State,2015,13,9,0.6923076923076923,18.846153846153847,39.07692307692308,20.23076923076923,MWC
Boise State,2016,13,10,0.7692307692307693,10.461538461538462,33.76923076923077,23.307692307692307,MWC
Boise State,2017,14,11,0.7857142857142857,9.642857142857142,32.5,22.857142857142858,MWC
Boise State,2018,13,10,0.7692307692307693,13.307692307692308,35.38461538461539,22.076923076923077,MWC
Boise State,2019,14,12,0.8571428571428571,12.857142857142858,34.714285714285715,21.857142857142858,MWC
Boise State,2021,12,7,0.5833333333333334,10.166666666666666,29.166666666666668,19.0,MWC
Boise State,2022,14,10,0.7142857142857143,10.0,29.5,19.5,MWC
Boise State,2023,14,8,0.5714285714285714,6.571428571428571,32.142857142857146,25.571428571428573,MWC
Boise State,2024,14,12,0.8571428571428571,14.714285714285714,37.285714285714285,22.571428571428573,MWC
Boise State,2025,14,9,0.6428571428571429,5.785714285714286,29.857142857142858,24.071428571428573,Mountain West
Boston College,2014,13,7,0.5384615384615384,4.923076923076923,26.23076923076923,21.307692307692307,ACC
Boston College,2015,12,3,0.25,1.9166666666666667,17.166666666666668,15.25,ACC
Boston College,2016,13,7,0.5384615384615384,-4.615384615384615,20.384615384615383,25.0,ACC
Boston College,2017,13,7,0.5384615384615384,2.8461538461538463,25.692307692307693,22.846153846153847,ACC
Boston College,2018,12,7,0.5833333333333334,6.333333333333333,32.0,25.666666666666668,ACC
Boston College,2019,13,6,0.46153846153846156,-3.1538461538461537,29.0,32.15384615384615,ACC
Boston College,2021,12,6,0.5,2.5,24.666666666666668,22.166666666666668,ACC
Boston College,2022,12,3,0.25,-12.583333333333334,17.75,30.333333333333332,ACC
Boston College,2023,13,7,0.5384615384615384,-3.4615384615384617,24.846153846153847,28.307692307692307,ACC
Boston College,2024,13,7,0.5384615384615384,4.384615384615385,28.153846153846153,23.76923076923077,ACC
Boston College,2025,12,2,0.16666666666666666,-7.333333333333333,25.416666666666668,32.75,ACC
Bowling Green,2014,14,8,0.5714285714285714,-3.5,30.0,33.5,MAC
Bowling Green,2015,14,10,0.7142857142857143,13.285714285714286,42.214285714285715,28.928571428571427,MAC
Bowling Green,2016,12,4,0.3333333333333333,-13.5,24.833333333333332,38.333333333333336,MAC
Bowling Green,2017,12,2,0.16666666666666666,-12.666666666666666,25.333333333333332,38.0,MAC
Bowling Green,2018,12,3,0.25,-15.666666666666666,24.333333333333332,40.0,MAC
Bowling Green,2019,12,3,0.25,-22.583333333333332,16.0,38.583333333333336,MAC
Bowling Green,2021,12,4,0.3333333333333333,-9.25,21.416666666666668,30.666666666666668,MAC
Bowling Green,2022,13,6,0.46153846153846156,-9.076923076923077,23.46153846153846,32.53846153846154,MAC
Bowling Green,2023,13,7,0.5384615384615384,2.1538461538461537,26.153846153846153,24.0,MAC
Bowling Green,2024,13,7,0.5384615384615384,5.461538461538462,27.076923076923077,21.615384615384617,MAC
Bowling Green,2025,12,4,0.3333333333333333,-3.75,20.5,24.25,Mid-American
Buffalo,2014,11,5,0.45454545454545453,0.7272727272727273,32.27272727272727,31.545454545454547,MAC
Buffalo,2015,12,5,0.4166666666666667,-0.9166666666666666,26.666666666666668,27.583333333333332,MAC
Buffalo,2016,12,2,0.16666666666666666,-15.833333333333334,16.5,32.333333333333336,MAC
Buffalo,2017,12,6,0.5,3.6666666666666665,28.5,24.833333333333332,MAC
Buffalo,2018,14,10,0.7142857142857143,8.642857142857142,34.57142857142857,25.928571428571427,MAC
Buffalo,2019,13,8,0.6153846153846154,10.153846153846153,31.46153846153846,21.307692307692307,MAC
Buffalo,2021,12,4,0.3333333333333333,-0.6666666666666666,29.25,29.916666666666668,MAC
Buffalo,2022,13,7,0.5384615384615384,1.8461538461538463,28.53846153846154,26.692307692307693,MAC
Buffalo,2023,12,3,0.25,-6.5,20.916666666666668,27.416666666666668,MAC
Buffalo,2024,13,9,0.6923076923076923,2.4615384615384617,28.846153846153847,26.384615384615383,MAC
Buffalo,2025,12,5,0.4166666666666667,0.5,24.0,23.5,Mid-American
California,2014,12,5,0.4166666666666667,-1.5,38.25,39.75,PAC
California,2015,13,8,0.6153846153846154,7.230769230769231,37.92307692307692,30.692307692307693,PAC
California,2016,12,5,0.4166666666666667,-5.5,37.083333333333336,42.583333333333336,PAC
California,2017,12,5,0.4166666666666667,-0.6666666666666666,27.75,28.416666666666668,PAC
California,2018,13,7,0.5384615384615384,1.6923076923076923,21.53846153846154,19.846153846153847,PAC
California,2019,13,8,0.6153846153846154,-0.6923076923076923,21.23076923076923,21.923076923076923,PAC
California,2021,12,5,0.4166666666666667,1.5,23.75,22.25,PAC
California,2022,12,4,0.3333333333333333,-3.9166666666666665,23.916666666666668,27.833333333333332,PAC
California,2023,13,6,0.46153846153846156,-2.5384615384615383,30.23076923076923,32.76923076923077,PAC
California,2024,13,6,0.46153846153846156,2.769230769230769,25.076923076923077,22.307692307692307,ACC
California,2025,13,7,0.5384615384615384,-1.8461538461538463,25.307692307692307,27.153846153846153,ACC
Central Michigan,2014,13,7,0.5384615384615384,1.7692307692307692,26.923076923076923,25.153846153846153,MAC
Central Michigan,2015,13,7,0.5384615384615384,3.8461538461538463,25.846153846153847,22.0,MAC
Central Michigan,2016,13,6,0.46153846153846156,-4.0,26.307692307692307,30.307692307692307,MAC
Central Michigan,2017,13,8,0.6153846153846154,0.9230769230769231,28.46153846153846,27.53846153846154,MAC
Central Michigan,2018,12,1,0.08333333333333333,-12.333333333333334,15.0,27.333333333333332,MAC
